name,domain,website,linkedin_url,industry,vertical,tier,status,headquarters,address,city,state,zip,phone,estimated_employees,estimated_revenue,total_beds,acute_beds,description,keywords,founded_year,twitter_url,facebook_url,logo_url,rural_urban,pay_type,source,source_id,apollo_id,recallwire_package,recallwire_price,recallwire_price_monthly,entity_type,parent_system,parent_system_id,tier,segment,individual_price,system_price,effective_price,priority_score,region,in_vantage,system_in_vantage
Cabinet Peaks Medical Center,cabinetpeaks.org,http://www.cabinetpeaks.org,http://www.linkedin.com/company/cabinet-peaks-medical-center,Healthcare,healthcare,Standard,new,"Libby, MT",209 Health Park DR,Libby,MT,59923,+1 (406) 283-7000,150,37500000,25,25.0,,,1952,https://twitter.com/cabinetpeaks,https://facebook.com/pages/Cabinet-Peaks-Medical-Center/385936231527269,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695e301e0291e40001755c89/picture,Rural,CAH,us_hospital_list_2024,271320,56dce098f3e5bb3fc7000aff,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Wheatland Memorial Hospital,,,http://www.linkedin.com/company/wheatland-memorial-hospital,Healthcare,healthcare,Standard,new,"Harlowton, MT",530 3rd St. Nw,Harlowton,MT,59036,+1 (406) 632-4351,150,37500000,25,25.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271321,54a11df169702d88c46e2401,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Sheridan Memorial Hosptial,,,,Healthcare,healthcare,Standard,new,"Plentywood, MT",440 W Laurel Ave,Plentywood,MT,59254,+1 (406) 765-3700,114,28500000,19,19.0,,,,,,,Rural,CAH,us_hospital_list_2024,271322,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Clark Fork Valley Hospital,,,http://www.linkedin.com/company/clark-fork-valley-hospital-foundation-inc,Healthcare,healthcare,Standard,new,"Plains, MT",10 Kruger Rd,Plains,MT,59859,+1 (406) 826-4800,96,24000000,16,16.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271323,670f376309443800013f94a8,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Pondera Medical Center,,,http://www.linkedin.com/company/pondera-medical-center-rural-health-clinic,Healthcare,healthcare,Standard,new,"Conrad, MT",805 Sunset Blvd,Conrad,MT,59425,+1 (406) 271-3211,120,30000000,20,20.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271324,673c43fcd7ecff0001a00b47,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
St. Luke Community Hospital,,,http://www.linkedin.com/company/st-luke-community-hospital,Healthcare,healthcare,Standard,new,"Ronan, MT",107 6th Ave Sw,Ronan,MT,59864,+1 (406) 676-4441,150,37500000,25,25.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271325,55923d7c73696448592e8c00,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Beartooth Billings Clinic,beartoothbillingsclinic.org,http://www.beartoothbillingsclinic.org,http://www.linkedin.com/company/beartooth-billings-clinic,Healthcare,healthcare,Standard,new,"Red Lodge, MT",2525 N Broadway,Red Lodge,MT,59068,+1 (406) 446-2345,60,15000000,10,10.0,,,,,https://facebook.com/pages/Beartooth-Billings-Clinic/152163838198210,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696fb31897226a000109cc30/picture,Rural,CAH,us_hospital_list_2024,271326,56d5482cf3e5bb070d003e61,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Rosebud Health Care Center,rosebudhcc.org,http://www.rosebudhcc.org,http://www.linkedin.com/company/rosebud-healthcare-center,Healthcare,healthcare,Standard,new,"Forsyth, MT",383 N 17th Av,Forsyth,MT,59327,+1 (406) 346-2161,150,37500000,25,26.0,,,1919,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6964abdb06bc510001a37310/picture,Rural,CAH,us_hospital_list_2024,271327,640dd1a14da0ed00017e5e7d,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Logan Health - Shelby,,,,Healthcare,healthcare,Standard,new,"Shelby, MT",640 Park Ave,Shelby,MT,59474,+1 (406) 434-3200,126,31500000,21,21.0,,,,,,,Rural,CAH,us_hospital_list_2024,271328,,Standard,5000,416.67,system_member,Logan Health,logan_health,Standard,community,5000,4000.0,4000.0,32,West,false,false
Madison Valley Medical Center,mvhospital-clinic.com,http://www.mvhospital-clinic.com,http://www.linkedin.com/company/madison-valley-medical-center,Healthcare,healthcare,Standard,new,"Ennis, MT",305 N Main,Ennis,MT,59729,+1 (406) 682-4222,96,24000000,16,10.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271329,66e50a747d848700012c1552,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Stillwater Billings Clinic,,,http://www.linkedin.com/company/stillwater-billings-clinic,Healthcare,healthcare,Standard,new,"Columbus, MT",710 N 11th St.,Columbus,MT,59019,+1 (406) 322-5316,60,15000000,10,16.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271330,67064dabee6e080001013513,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Mineral Community Hospital,,,,Healthcare,healthcare,Standard,new,"Superior, MT",1208 6th Ave E,Superior,MT,59872,+1 (406) 822-4841,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,271331,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Glendive Medical Center,gmc.org,http://www.gmc.org,http://www.linkedin.com/company/glendive-medical-center,Healthcare,healthcare,Standard,new,"Glendive, MT",202 Prospect DR,Glendive,MT,59330,+1 (406) 345-3306,150,37500000,25,25.0,,,1965,https://twitter.com/glendivemedical,https://facebook.com/GlendiveMedicalCenter,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696deba45c892a00018ca6d0/picture,Rural,CAH,us_hospital_list_2024,271332,5a9eb2f4a6da98d9977d7d75,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Billings Clinic Broadwater,,,,Healthcare,healthcare,Standard,new,"Townsend, MT",110 N Oak St.,Townsend,MT,59644,+1 (406) 266-3186,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,271333,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Logan Health - Chester,,,,Healthcare,healthcare,Standard,new,"Chester, MT",315 W Madison Ave,Chester,MT,59522,+1 (406) 759-5181,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,271334,,Standard,5000,416.67,system_member,Logan Health,logan_health,Standard,community,5000,4000.0,4000.0,32,West,false,false
Community Hospital of Anaconda,communityhospitalofanaconda.org,http://www.communityhospitalofanaconda.org,http://www.linkedin.com/company/community-hospital-of-anaconda,Healthcare,healthcare,Standard,new,"Anaconda, MT",401 W Pennsylvania,Anaconda,MT,59711,+1 (406) 563-8500,150,37500000,25,25.0,,,1889,,https://facebook.com/communityhospitalofanaconda,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e14c8cceb6f50001b5eace/picture,Rural,CAH,us_hospital_list_2024,271335,54a1a3a274686949e7aef803,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Logan Health - Whitefish,,,,Healthcare,healthcare,Standard,new,"Whitefish, MT",1600 Hospital Way,Whitefish,MT,59937,+1 (406) 863-3550,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,271336,,Standard,5000,416.67,system_member,Logan Health,logan_health,Standard,community,5000,4000.0,4000.0,32,West,false,false
Northern Rockies Medical Center,nrmcinc.org,http://www.nrmcinc.org,,Healthcare,healthcare,Standard,new,"Cut Bank, MT",802 2nd St. Se,Cut Bank,MT,59427,+1 (406) 873-2251,120,30000000,20,20.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64aef539d35eb30001708b62/picture,Rural,CAH,us_hospital_list_2024,271337,67355abfc043b30001cd6a51,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Big Horn Hospital,bighornhospital.org,http://www.bighornhospital.org,http://www.linkedin.com/company/big-horn-hospital-association,Healthcare,healthcare,Standard,new,"Hardin, MT",17 N Miles,Hardin,MT,59034,+1 (406) 665-2310,150,37500000,25,18.0,,,,,https://facebook.com/big-horn-hospital-association-1745347439039235,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e6fa5d5aba300001553729/picture,Rural,CAH,us_hospital_list_2024,271338,56db545df3e5bb5faf005591,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
P H S Indian Hospital Crow / Northern Cheyenne,,,,Healthcare,healthcare,Standard,new,"Crow Agency, MT","1010 South 7650 East, Post Office Box 9",Crow Agency,MT,59022,+1 (406) 638-2626,144,36000000,24,24.0,,,,,,,Rural,CAH,us_hospital_list_2024,271339,,Standard,5000,416.67,independent,,,Standard,specialty,5000,,5000,30,West,false,false
Bitterroot Health - Daly Hospital,,,,Healthcare,healthcare,Standard,new,"Hamilton, MT",1200 Westwood DR,Hamilton,MT,59840,+1 (406) 375-4408,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,271340,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Trinity Hospital,,,http://www.linkedin.com/company/hca-florida-trinity-hospital,Healthcare,healthcare,Standard,new,"Wolf Point, MT",315 Knapp St.,Wolf Point,MT,59201,+1 (727) 834-4000,132,33000000,22,22.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66ee7e37a9edeb0001776206/picture,Rural,CAH,us_hospital_list_2024,271341,5fb8d88e1fa65e00becbd961,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Daniels Memorial Hospital,danielsmemorialhealthcare.org,http://www.danielsmemorialhealthcare.org,http://www.linkedin.com/company/daniels-memorial-hospital,Healthcare,healthcare,Standard,new,"Scobey, MT",105 5th Ave E,Scobey,MT,59263,+1 (406) 487-2296,150,37500000,25,25.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,Rural,CAH,us_hospital_list_2024,271342,6401a3b67bd49700015327cb,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Providence St. Joseph Medical Center,,,http://www.linkedin.com/company/providence-st-joseph-medical-center,Healthcare,healthcare,Standard,new,"Polson, MT",6 13th Ave E,Polson,MT,59860,+1 (425) 525-3355,132,33000000,22,22.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,CAH,us_hospital_list_2024,271343,5591fbdd7369641912d90f00,Standard,5000,416.67,system_member,Providence,providence,Standard,community,5000,3600.0,3600.0,32,West,false,false
Sidney Health Center,sidneyhealth.org,http://www.sidneyhealth.org,http://www.linkedin.com/company/sidney-health-center,Healthcare,healthcare,Standard,new,"Sidney, MT",216 14th Ave Sw,Sidney,MT,59270,+1 (406) 488-2100,150,37500000,25,25.0,,,1907,,https://www.facebook.com/pages/Sidney-Health-Center/237107093090898,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696fcd1e8097890001bad8dd/picture,Rural,CAH,us_hospital_list_2024,271344,54a2221774686930c2f6820f,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Central Montana Medical Center,cmmc.health,http://www.cmmc.health,http://www.linkedin.com/company/central-montana-medical-facilities-inc,Healthcare,healthcare,Standard,new,"Lewistown, MT",408 Wendell Ave,Lewistown,MT,59457,+1 (406) 538-7711,150,37500000,25,25.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6834201dbc5d030001ce2863/picture,Rural,CAH,us_hospital_list_2024,271345,5a9cd246a6da98d954d612ab,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Roundup Memorial Healthcare,rmhmt.org,http://www.rmhmt.org,http://www.linkedin.com/company/roundup-memorial-healthcare,Healthcare,healthcare,Standard,new,"Roundup, MT",1202 3rd St. W,Roundup,MT,59072,+1 (406) 323-2301,150,37500000,25,25.0,,,1954,,https://facebook.com/roundupmemorial,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c25f7462f36c000172c4f7/picture,Rural,CAH,us_hospital_list_2024,271346,54a19ffe7468695860cae302,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Holy Rosary Healthcare,,,,Healthcare,healthcare,Standard,new,"Miles City, MT",2600 Wilson St.,Miles City,MT,59301,+1 (406) 233-2600,150,37500000,25,25.0,,,,,,,Rural,CAH,us_hospital_list_2024,271347,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Northern Montana Hospital,nmhcare.org,http://www.nmhcare.org,http://www.linkedin.com/company/northern-montana-hospital,Healthcare,healthcare,Standard,new,"Havre, MT",30 13th St.,Havre,MT,59501,+1 (406) 265-2211,288,72000000,48,,,,1967,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/674b46b99eefc2000143a404/picture,Rural,CAH,us_hospital_list_2024,271348,5fcb0dc59a01ab0001281725,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Big Sky Medical Center,,,http://www.linkedin.com/company/bozeman-health-big-sky-medical-center-llc,Healthcare,healthcare,Standard,new,"Big Sky, MT",334 Town Center Ave,Big Sky,MT,59716,+1 (406) 995-6995,24,6000000,4,8.0,,,2015,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e58ab19fe969000196ca40/picture,Rural,CAH,us_hospital_list_2024,271389,6558aa8f99d9230001cb7248,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,West,false,false
Bryan Medical Center,,,http://www.linkedin.com/company/bryan-medical-center---east-campus,Healthcare,healthcare,Enterprise Plus,new,"Lincoln, NE",1600 South 48th St.,Lincoln,NE,68506,+1 (402) 481-1111,3780,945000000,630,510.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,280003,67038ccdc73b0e000133d115,Enterprise Plus,56600.0,4716.67,system_member,Bryan Health,bryan_health,Enterprise Plus,regional,63900,6000.0,6000.0,35,Midwest,false,false
Chi Health Good Samaritan,,,http://www.linkedin.com/company/chi-health-good-samaritan-hospital,Healthcare,healthcare,Enterprise,new,"Kearney, NE","P O Box 1990, 10 East 31st St.",Kearney,NE,68847,+1 (308) 865-7100,990,247500000,165,182.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,RRC,us_hospital_list_2024,280009,670a2b0d2821fe0001d7b526,Enterprise,25900.0,2158.33,system_member,CommonSpirit Health,commonspirit,Enterprise,community,25950,3400.0,3400.0,32,Midwest,false,true
The Nebraska Medical Center,,,http://www.linkedin.com/company/kidsightsdata,Healthcare,healthcare,Enterprise Plus,new,"Omaha, NE",987400 Nebraska Medical Center,Omaha,NE,68198,+1 (402) 552-2040,4134,1033500000,689,592.0,,,2023,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67140742082c36000148358f/picture,Urban,PPS,us_hospital_list_2024,280013,64bbe3384863340001fd6ee0,Enterprise Plus,59500.0,4958.33,system_member,Nebraska Medicine,nebraska_medicine,Enterprise Plus,regional,65670,6000.0,6000.0,35,Midwest,false,false
Chi Health St. Elizabeth,,,http://www.linkedin.com/company/chi-health-st.-elizabeth,Healthcare,healthcare,Enterprise,new,"Lincoln, NE",555 South 70th St.,Lincoln,NE,68510,+1 (402) 219-7700,1590,397500000,265,137.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,280020,66f04703e79abd00019a7a4e,Enterprise,31900.0,2658.33,system_member,CommonSpirit Health,commonspirit,Enterprise,community,28950,4250.0,4250.0,32,Midwest,false,true
Chi Health St. Francis,chihealthstfrancis.org,http://www.chihealthstfrancis.org,http://www.linkedin.com/company/chi-health-st.-francis.,Healthcare,healthcare,Enterprise,new,"Grand Island, NE",2620 West Faidley Ave,Grand Island,NE,68803,+1 (308) 384-4600,780,195000000,130,101.0,,,1887,https://twitter.com/saintfrancisgi,https://facebook.com/saintfrancisgi,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,RRC,us_hospital_list_2024,280023,6636a157a1ab460001ffc33f,Enterprise,24000,2000.0,system_member,CommonSpirit Health,commonspirit,Enterprise,community,24900,3400.0,3400.0,32,Midwest,false,true
Mary Lanning Healthcare,marylanning.org,http://www.marylanning.org,http://www.linkedin.com/company/mary-lanning-healthcare,Healthcare,healthcare,Enterprise,new,"Hastings, NE",715 N St. Joseph Ave,Hastings,NE,68901,+1 (402) 463-4521,978,244500000,163,106.0,,,1915,https://twitter.com/MLHealthcare,https://facebook.com/MLHealthcare,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6967e0c1e264fc0001d3af6c/picture,Rural,PPS,us_hospital_list_2024,280032,559223247369642393603200,Enterprise,25800.0,2150.0,independent,,,Enterprise,community,25890,,25890,42,Midwest,false,false
Methodist Hospital,,,http://www.linkedin.com/company/riverside-methodist-hospital,Healthcare,healthcare,Enterprise Plus,new,"Omaha, NE",8303 Dodge St.,Omaha,NE,68114,+1 (402) 354-4000,2580,645000000,430,363.0,,,1892,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696f5adb6c1f88000177731e/picture,Urban,PPS,us_hospital_list_2024,280040,559220a2736964191eb88400,Enterprise Plus,46500.0,3875.0,system_member,Methodist Healthcare (Multi-state),methodist_healthcare,Enterprise Plus,community,57900,4750.0,4750.0,32,Midwest,false,false
Twelve Clans Unity Hospital,twelveclanshospital.com,http://www.twelveclanshospital.com,,Healthcare,healthcare,Standard,new,"Winnebago, NE",225 S Bluff Street,Winnebago,NE,68071,+1 (402) 745-3950,78,19500000,13,13.0,,,2018,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6531b5cdd97ff40001adb113/picture,Rural,IHS,us_hospital_list_2024,280059,5f49d0d9d5572a0001a432bb,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Chi Health Creighton University Medical Center - B,,,,Healthcare,healthcare,Enterprise Plus,new,"Omaha, NE",7500 Mercy Rd,Omaha,NE,68124,+1 (402) 398-6060,2400,600000000,400,389.0,,,,,,,Urban,PPS,us_hospital_list_2024,280060,,Enterprise Plus,45000.0,3750.0,system_member,CommonSpirit Health,commonspirit,Enterprise Plus,academic,57000,4250.0,4250.0,36,Midwest,false,true
Regional West Medical Center,,,http://www.linkedin.com/company/delta-regional-medical-center---west-campus,Healthcare,healthcare,Enterprise,new,"Scottsbluff, NE",4021 Ave B,Scottsbluff,NE,69361,+1 (308) 635-3711,996,249000000,166,122.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,SCH/RRC,us_hospital_list_2024,280061,6739077e885ca10001065310,Enterprise,26000.0,2166.67,independent,,,Enterprise,community,25980,,25980,42,Midwest,false,false
Great Plains Health,gphealth.org,http://www.gphealth.org,http://www.linkedin.com/company/great-plains-health,Healthcare,healthcare,Enterprise,new,"North Platte, NE",601 West Leota St.,North Platte,NE,69101,+1 (308) 568-8000,696,174000000,116,96.0,,,1975,https://twitter.com/GPHealthcare,https://www.facebook.com/GPHealth,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696fa2785415850001cd0568/picture,Rural,SCH/RRC,us_hospital_list_2024,280065,5d0a2329f6512528282f9b90,Enterprise,23300,1941.67,independent,,,Enterprise,community,24480,,24480,36,Midwest,false,false
Methodist Fremont Health,,,http://www.linkedin.com/company/methodist-fremont-health,Healthcare,healthcare,Enterprise,new,"Fremont, NE",450 East 23rd St.,Fremont,NE,68025,+1 (402) 727-3381,540,135000000,90,50.0,,,1940,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696f2a6ad19e4b000171f356/picture,Rural,SCH,us_hospital_list_2024,280077,5e75c99c69e9860141764599,Enterprise,22000,1833.33,independent,,,Enterprise,community,23700,,23700,36,Midwest,false,false
Chi Health Immanuel,,,http://www.linkedin.com/company/chi-health-immanuel,Healthcare,healthcare,Enterprise,new,"Omaha, NE",6901 North 72nd St.,Omaha,NE,68122,+1 (402) 572-2121,2136,534000000,356,177.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,280081,6741f6528ccc3e0001261160,Enterprise,37400.0,3116.67,system_member,CommonSpirit Health,commonspirit,Enterprise,community,31680,4250.0,4250.0,32,Midwest,false,true
Chi Health Midlands,,,http://www.linkedin.com/company/chi-health-midlands,Healthcare,healthcare,Enterprise,new,"Papillion, NE",11111 South 84th St.,Papillion,NE,68046,+1 (402) 593-3000,786,196500000,131,28.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,280105,674440846e3c8f0001683097,Enterprise,24000,2000.0,system_member,CommonSpirit Health,commonspirit,Enterprise,community,24930,3400.0,3400.0,32,Midwest,false,true
"Columbus Community Hospital, Inc",cch-inc.com,http://www.cch-inc.com,http://www.linkedin.com/company/columbus-community-hospital-foundation-inc,Healthcare,healthcare,Standard,new,"Columbus, NE",4600 38th St.,Columbus,NE,68601,+1 (920) 623-2200,282,70500000,47,50.0,,,1907,,https://facebook.com/pages/Columbus-Community-Hospital-Wisconsin/169614636424569,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Rural,SCH,us_hospital_list_2024,280111,66e6300375c8ec00011e4eb5,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Faith Regional Health Services,frhs.org,http://www.frhs.org,http://www.linkedin.com/company/frhs,Healthcare,healthcare,Enterprise,new,"Norfolk, NE",2700 West Norfolk Ave,Norfolk,NE,68701,+1 (402) 371-4880,798,199500000,133,122.0,,,1923,https://twitter.com/@faithregional,https://facebook.com/faithregional,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696e03ba8d98fd0001bc25cc/picture,Rural,SCH,us_hospital_list_2024,280125,5f8f2209ecc7bf0120c4bbb8,Enterprise,24200,2016.67,independent,,,Enterprise,community,24990,,24990,36,Midwest,false,false
Lincoln Surgical Hospital,lincolnsurgery.com,http://www.lincolnsurgery.com,http://www.linkedin.com/company/lincoln-surgical-hospital,Healthcare,healthcare,Standard,new,"Lincoln, NE",1710 South 70th Street,Lincoln,NE,68506,+1 (402) 484-9090,120,30000000,20,20.0,,,1994,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6962d67f5e6cf600013f8a53/picture,Urban,PPS,us_hospital_list_2024,280127,54a1350469702d3e83ec6f00,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Chi Health Nebraska Heart,,,http://www.linkedin.com/company/chi-health-nebraska-heart,Healthcare,healthcare,Enterprise,new,"Lincoln, NE",7500 South 91st St.,Lincoln,NE,68526,+1 (402) 327-2700,378,94500000,63,63.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,280128,670a497c0d75880001d09fdc,Enterprise,20600,1716.67,system_member,CommonSpirit Health,commonspirit,Enterprise,community,22890,3400.0,3400.0,32,Midwest,false,true
Orthonebraska Hospital,,,,Healthcare,healthcare,Standard,new,"Omaha, NE",2808 South 143rd Plaza,Omaha,NE,68144,+1 (402) 609-3000,144,36000000,24,24.0,,,,,,,Urban,PPS,us_hospital_list_2024,280129,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Chi Health Lakeside,,,http://www.linkedin.com/company/chi-health-lakeside,Healthcare,healthcare,Enterprise,new,"Omaha, NE",16901 Lakeside Hills Ct,Omaha,NE,68130,+1 (402) 717-8000,942,235500000,157,109.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,280130,636fec8032242a0001870aa3,Enterprise,25400.0,2116.67,system_member,CommonSpirit Health,commonspirit,Enterprise,community,25710,3400.0,3400.0,32,Midwest,false,true
Midwest Surgical Hospital Llc,mwsurgicalhospital.com,http://www.mwsurgicalhospital.com,http://www.linkedin.com/company/midwest-surgical-hospital-llc,Healthcare,healthcare,Standard,new,"Omaha, NE",7915 Farnam Drive,Omaha,NE,68114,+1 (402) 399-1900,114,28500000,19,19.0,,,2008,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/695d3f04b881990001a556a5/picture,Urban,PPS,us_hospital_list_2024,280131,56d4f1c0f3e5bb263b0003ea,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
"Bellevue Medical Center, Llc",,,,Healthcare,healthcare,Enterprise,new,"Bellevue, NE",2500 Bellevue Medical Center DR,Bellevue,NE,68123,+1 (402) 763-3600,546,136500000,91,71.0,,,,,,,Urban,PPS,us_hospital_list_2024,280132,,Enterprise,22000,1833.33,system_member,Nebraska Medicine,nebraska_medicine,Enterprise,community,23730,4000.0,4000.0,32,Midwest,false,false
"Nebraska Spine Hospital, Llc",,,,Healthcare,healthcare,Standard,new,"Omaha, NE","6901 North 72nd St, Ste 20300",Omaha,NE,68122,+1 (402) 572-3000,204,51000000,34,34.0,,,,,,,Urban,PPS,us_hospital_list_2024,280133,,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Kearney Regional Medical Center,kearneyregional.com,http://www.kearneyregional.com,http://www.linkedin.com/company/kearney-regional-medical-center,Healthcare,healthcare,Standard,new,"Kearney, NE",804 22nd Avenue,Kearney,NE,68845,+1 (308) 455-3600,264,66000000,44,93.0,,,2013,https://twitter.com/kearneyregional,https://facebook.com/kearneyregional/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696f8b7f5a50f600018cd406/picture,Rural,PPS,us_hospital_list_2024,280134,54a1b6477468694f8f645b0a,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
Grand Island Regional Medical Center,giregional.org,http://www.giregional.org,http://www.linkedin.com/company/grand-island-regional-medical-center,Healthcare,healthcare,Enterprise,new,"Grand Island, NE",3533 Prairieview Street,Grand Island,NE,68803,+1 (308) 675-5000,402,100500000,67,60.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6961f6773682870001c2dec8/picture,Urban,PPS,us_hospital_list_2024,280139,5e564c75e36a770001ba339a,Enterprise,20800,1733.33,independent,,,Enterprise,community,23010,,23010,36,Midwest,false,false
Harlan County Health System,harlancountyhealth.com,http://www.harlancountyhealth.com,http://www.linkedin.com/company/harlan-county-health-system-hchs,Healthcare,healthcare,Standard,new,"Alma, NE",717 Brown St.,Alma,NE,68920,+1 (308) 928-2151,114,28500000,19,19.0,,,1951,https://twitter.com/harlancohealth,https://www.facebook.com/HarlanCountyHealthSystem/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6968990733bdc800014ad6c2/picture,Rural,CAH,us_hospital_list_2024,281300,64f734b5cadfe6026ab83e93,Standard,5000,416.67,independent,,,Standard,community,5000,,5000,30,Midwest,false,false
